departure,arrival,duration
"Zürich, Feusisbergli","Zürich, Am Suteracher",5
"Zürich, Jugendherberge","Zürich Wollishofen,Bhf/Staubst",8
"Zürich, Kirche Fluntern","Zürich, Voltastrasse",8
"Zürich, Trichtenhausenfussweg","Zürich, Segeten",8
"Birmensdorf ZH, Bahnhof Süd",Birmensdorf ZH,2
"Dietikon, Hätschen","Dietikon, Oberdorf",4
"Dübendorf, Raubbühl","Dübendorf, Sunnhalde",5
"Dübendorf, Stadthaus","Dübendorf, Post",5
"Effretikon, Bahnhof",Effretikon,2
"Fislisbach, Gemeindehaus","Fislisbach, Dorfstrasse",7
"Glattpark, Glattpark","Glattpark, Chavez-Allee",8
"Grafstal, Unterdorf","Grafstal, Oberdorf",7
Hardstrasse,"Wettingen, Zirkuswiese",6
"Hirzel, Kirche","Hirzel, Katholische Kirche",7
Horgen Oberdorf,"Horgen, Panorama/CS",5
"Kilchberg ZH, Bächlerstrasse","Kilchberg ZH, Obere Hornhalde",7
"Kloten, Graswinkel","Kloten, Oberfeld",5
"Kloten, Neubrunnenstrasse","Kloten, Schluefweg",5
"Meilen, Schulhaus Feld","Meilen, Schwabach",5
"Opfikon, Grossacker","Opfikon, Grätzli",6
"Pfungen, Bahnhof",Pfungen,1
"Regensdorf, Altersheim","Regensdorf, Dreispitz",10
"Rottenschwil, Seematten","Rottenschwil, Kapelle",6
"Uster, Burgstrasse","Uster, Burgreben",5
"Uster, Oberlandstrasse",Uster,10
"Wallisellen, Blumenweg","Wallisellen, Spitzacker",5
"Wallisellen, Friedhof","Wallisellen, Schulhaus Bürgli",9
"Wallisellen, Guggenbühlstrasse","Wallisellen, Riedenerstrasse",10
"Winterthur, Ausserdorf","Winterthur, Unterdorf",6
"Wädenswil, Weinrebe",Wädenswil (See),6
"Zollikerberg, Hasenbart","Zollikerberg, Spital",5
Zollikerberg,"Zollikerberg, Station",2
Zollikon (See),"Zollikon, Dufourplatz",9
"Zürich Oerlikon, Bahnhof Ost","Zürich, Max-Bill-Platz",7
"Zürich Wiedikon, Bahnhof","Zürich, Bezirksgebäude",7
"Zürich, Am Börtli","Zürich, Alte Trotte",5
"Zürich, Bus Station","Zürich, Sihlquai/HB",3
"Zürich, Escher-Wyss-Platz","Zürich, Rosengartenstrasse",10
"Zürich, Felsenrainstrasse","Zürich Oerlikon, Bahnhof Nord",10
"Zürich, Fischerweg","Zürich, Bernoulli-Häuser",6
"Zürich, Freiestrasse","Zürich, Hegibachplatz",5
"Zürich, Im Gut","Zürich, Langgrütstrasse",4
"Zürich, Kappenbühlweg","Zürich, Meierhofplatz",3
"Zürich, Langensteinenstrasse","Zürich, Schäppiweg",7
"Zürich, Museum Rietberg","Zürich Enge, Bahnhof/Bederstr.",9
"Zürich, Quellenstrasse","Zürich, Limmatplatz",7
"Zürich, Rudolf-Brun-Brücke","Zürich, Helmhaus",9
"Zürich, Sihlquai/HB","Zürich, Stampfenbachplatz",8
"Zürich, Winkelriedstrasse","Zürich, Haldenbach",7
"Zürich, Winzerhalde","Zürich, Hohenklingensteig",8
"Adlikon b. R., Pächterried","Regensdorf, Furtbächli",6
"Bergdietikon, Baltenschwil","Bergdietikon, Dünni",4
"Bülach, Pfarrgässli","Bülach, Kantonsschule",10
"Dietikon, Bahnhof","Dietikon, Sommerau",7
"Dietikon, Rapidplatz","Dietikon, Heimstrasse",4
"Dübendorf, City Center","Dübendorf, Unterdorf",5
"Dübendorf, Memphis","Dübendorf, Meiershofstrasse",9
"Dübendorf, Sonnenberg","Dübendorf, Branzenäsch",5
"Effretikon, Brüttenerstrasse","Effretikon, Weiherstrasse",7
"Erlenbach ZH, Im Loo","Erlenbach ZH, Rankstrasse",9
"Fällanden, Wigarten","Fällanden, Gemeindehaus",4
Gewerbeschule,"Winterthur, Technikum",6
"Glattbrugg, Bahnhof","Glattbrugg, Post",3
"Herrliberg, Grüt","Herrliberg, Pfarrgasse",9
"Hirzel, Katholische Kirche","Hirzel, Vorderi Siten",7
"Hirzel, Post","Hirzel, Katholische Kirche",8
Illnau,"Illnau, Dorfplatz",4
"Kilchberg ZH, Bahnhof","Kilchberg ZH, Sanatorium",9
"Kilchberg ZH, Breitloo","Kilchberg ZH, Emilienheim",7
"Meilen, Parkresidenz","Meilen, Bahnhof",10
"Oberrohrdorf, Friedhof","Niederrohrdorf, Oberdorf",7
"Opfikon, Vreniker","Opfikon, Dorf",10
"Pfäffikon ZH, Grundstrasse","Pfäffikon ZH, Güchweg",6
"Regensdorf, Obstgarten","Regensdorf, Lettenhau",9
"Schlieren, Spital Limmattal",Urdorf,9
"Tagelswangen, Herdlen","Tagelswangen, Buckstrasse",2
"Thalwil, Gewerbestrasse","Thalwil, Böni",5
"Urdorf, Luberzen",Glanzenberg,10
"Uster, Zentralstrasse","Uster, Apothekerstrasse",5
"Wallisellen, Glatt (Tram)","Wallisellen, Glatt (Bus)",4
"Wettingen, Halbartenstrasse",Hardstrasse,7
"Wettingen, Rebstock","Wettingen, Bahnhofstrasse",6
"Wettingen, Schönenbühlstrasse","Wettingen, Zentrumsplatz",10
"Winterthur, Hauptbahnhof","Winterthur, Schmidgasse",6
"Winterthur, Schmidgasse","Winterthur, Museumstrasse/HB",5
"Wohlen AG, Gerstmatt","Wohlen AG, Rebbergstrasse",9
"Wohlen AG, Haldenschulen","Wohlen AG, Rigistrasse",6
"Wohlen AG, Turmstrasse",Wohlen Oberdorf,3
"Würenlos, Bahnhofplatz","Würenlos, Post",10
"Zollikerb., Langägerten/Spital","Zollikerberg, Spital",5
"Zürich Enge, Bahnhof/Bederstr.","Zürich, Rentenanstalt",8
Zürich HB SZU,Zürich HB,3
Zürich Wollishofen (See),"Zürich, Rote Fabrik",7
"Zürich, Albisrank","Zürich, Hubertus",9
"Zürich, Binz Center","Zürich, Friesenberg",8
"Zürich, Buchzelgstrasse","Zürich, Buchholz",7
"Zürich, Englischviertelstrasse","Zürich, Römerhof",5
"Zürich, Friedhof Enzenbühl","Zürich, Rehalp",5
"Zürich, Glaubtenstrasse","Zürich, Hürstholz",9
"Zürich, Goldackerweg","Zürich, Sädlenweg",10
"Zürich, Goldauerstrasse","Zürich, Germaniastrasse",5
"Zürich, Grimselstrasse","Zürich, Baslerstrasse",5
"Zürich, Hegibachplatz","Zürich, Botanischer Garten",7
"Zürich, Im Hüsli","Zürich, Marbachweg",7
"Zürich, Kunsthaus","Zürich, Rathaus",10
"Zürich, Lerchenhalde","Zürich, ETH Hönggerberg",8
"Zürich, Militär-/Langstrasse","Zürich, Kanonengasse",5
"Zürich, Rotbuchstrasse","Zürich, Laubiweg",9
"Zürich, SBB-Werkstätte","Zürich, Herdernstrasse",10
"Zürich, Schumacherweg","Zürich, Glaubtenstrasse Nord",10
"Adliswil, Rütistrasse/Wacht","Adliswil, Schulhaus Kopfholz",6
"Au ZH, Appital","Au ZH, Stoffelstrasse",10
"Bremgarten AG, Bibenlos","Bremgarten AG, Bahnhof",8
"Bremgarten AG, Meyerhof",Bremgarten Obertor,10
"Bülach, Berufswahlschule","Bülach, Hinterbirch",10
"Dietikon, Moosmatt","Dietikon, Hagackerstrasse",7
"Dietlikon, Dornenstrasse","Dietlikon, Industriestrasse",10
"Dübendorf, Memphis","Dübendorf, Post",9
"Dübendorf, Sport Heerenschürli","Dübendorf, Neugut Süd",10
"Dübendorf, Unterdorf","Dübendorf, Meiershofstrasse",9
"Effretikon, Lindenwiese","Effretikon, Wattspitz",8
Fehraltorf,"Fehraltorf, Bahnhof",1
"Glattbrugg, Frohbühlstrasse","Opfikon, Bahnhof",8
"Herrliberg, Sportplatz","Herrliberg, Schulhaus",10
"Herrliberg, Vogtei","Herrliberg, Tennisplätze",10
"Herrliberg-Feldmeilen, Bhf Ost","Herrliberg-Feldmeilen, Bahnhof",4
"Herrliberg-Feldmeilen,Bhf West",Herrliberg (See),4
"Horgen, Schinzenhof","Horgen, Bahnhof",4
"Illnau, Löwen","Illnau, Kirche",4
"Illnau, Wingert","Illnau, Steinacher",4
"Kilchberg ZH, Sanatorium","Kilchberg ZH, Kreuzstrasse",5
"Kilchberg ZH, Spital","Adliswil, Dietlimoos",6
"Küsnacht ZH, Oberfeld","Küsnacht ZH, Bergstrasse",4
"Meilen, Obermeilen","Meilen, Grueb",9
"Oetwil am See, Langholz","Oetwil am See, Buacher",7
"Oetwil an der Limmat, Halde","Oetwil an der Limmat, Post",10
Post,"Hausen am Albis, Bifang",10
"Regensdorf, Strassenverkehrs.","Regensdorf, Sportanlage Wisa.",5
"Rüschlikon, Bodengasse","Rüschlikon, Schlossstrasse",8
"Schlieren, Bahnhof","Schlieren, Geissweid",8
"Schlieren, Zentrum/Bahnhof",Schlieren,4
Tägi,"Wettingen, Halbartenstrasse",10
"Uitikon, Gläseren","Uitikon, Wängi",6
"Wallisellen, Rosenberg","Wallisellen, Friedhof",10
"Wettingen, St. Sebastian","Wettingen, Märzengasse",9
"Wettswil a.A., Grund","Wettswil a.A., Chilenholzstr.",9
"Widen, Burkertsmatt",Berikon-Widen,9
"Wädenswil, Coop","Wädenswil, Bahnhof",3
"Wädenswil, Schlossbergstrasse","Wädenswil, Schmiedstube",9
"Zürich Altstetten, Bahnhof N",Zürich Altstetten,2
"Zürich, Baslerstrasse","Zürich, Bristenstrasse",6
"Zürich, Kappenbühlweg","Zürich, Winzerhalde",9
"Zürich, Kernstrasse","Zürich Wiedikon, Bahnhof",7
"Zürich, Kirche Fluntern","Zürich, Hofstrasse",8
"Zürich, Kreuzplatz","Zürich, Sprecherstrasse",7
"Zürich, Morgental","Zürich, Besenrainstrasse",5
"Zürich, Rigiblick","Zürich, Goldauerstrasse",6
"Zürich, Schweighof",Zürich Friesenberg,8
"Zürich, Stauffacher",Zürich Wiedikon,10
"Zürich, Wiesliacher","Zürich, Trichtisal",8
"Zürich, Winzerstrasse","Zürich, Hohenklingensteig",8
"Dübendorf, Bahnhof Nord","Dübendorf, Bahnhof",3
"Dübendorf, Lindenplatz","Dübendorf, Bahnhof",6
"Embrach, Dreispitz","Embrach, Alterszentrum",7
"Erlenbach ZH, Alterswohnheim","Erlenbach ZH, Im Vogelsang",5
"Erlenbach ZH, Rankstrasse","Erlenbach ZH, Sandfelsenstr.",5
"Horgen, Altes Gemeindehaus","Horgen, Bergli",8
"Horgen, Gumelenstrasse","Horgen, Altes Gemeindehaus",7
"Horgen, Spital","Horgen, Wannerstrasse",4
"Kloten, Ackerstrasse","Kloten, Kirchgasse",6
"Kloten, Wohnheim","Kloten, Mühle",9
"Küsnacht ZH, Hesligenstrasse","Küsnacht ZH, Allmend",7
"Meilen, Zur Au","Meilen, Au",9
"Muri AG, Marktstrasse","Muri AG, Kreisel",8
"Mönchaltorf, Huebstock","Mönchaltorf, Wihalde",9
"Pfaffhausen, Feldhof","Pfaffhausen, Müseren",5
"Schlieren, Kesslerstrasse","Schlieren, Geissweid",9
"Stadel b. N., Neuwis-Huus","Stadel b. N., Musterplatz",8
"Teufen ZH, Schulhaus","Teufen ZH, Schloss",9
"Thalwil, Archstrasse",Thalwil (See),10
"Thalwil, Bahnhof","Thalwil, Post",5
"Unterengstringen, Sennenbüel N","Unterengstringen, Eckstein",7
"Uster, Loren-Allee","Uster, Gschwaderstrasse",8
"Uster, Sportanlage","Uster, Buchholz",7
"Wallisellen, Schulhaus Bürgli","Wallisellen, Lindenplatz",10
"Wettingen, Bahnhofstrasse","Wettingen, Sonne",8
"Wettswil a.A., Grund","Wettswil a.A., Moosstrasse",8
Winterthur Wülflingen,"Winterthur, Schulhaus Wyden",4
"Winterthur, Brühleck","Winterthur, Sulzer",4
"Winterthur, Schulhaus Wyden",Winterthur Wülflingen,4
"Wohlen AG, Gyrenhübelstrasse","Wohlen AG, Gerstmatt",8
"Wädenswil, Glärnisch","Wädenswil, Neudorf",5
"Wädenswil, Tiefenhof","Wädenswil, Gulmenmatt",8
"Würenlos, Raiffeisenbank","Würenlos, Brunnenweg",10
"Zürich Altstetten, Bahnhof",Zürich Altstetten,2
Zürich Giesshübel,"Zürich, Waffenplatz-/Bederstr.",8
Zürich HB,"Zürich, Central",7
Zürich Wipkingen,"Zürich, Nürenbergstrasse",7
"Zürich, Bus Station",Zürich Landesmuseum (See),8
"Zürich, Dorflinde","Zürich, Messe/Hallenstadion",9
"Zürich, ETH/Universitätsspital","Zürich, Bahnhofquai/HB",10
"Zürich, Ettenfeld","Zürich, Seebach",10
"Zürich, Genossenschaftsstrasse","Zürich, Riedbach",7
"Zürich, Jugendherberge","Zürich, Thujastrasse",5
"Zürich, Kapfstrasse","Zürich, Wetlistrasse",5
"Zürich, Krönleinstrasse","Zürich, Spyristeig",9
"Zürich, Neumarkt","Zürich, Helmhaus",9
"Zürich, Nürenbergstrasse","Zürich, Nordstrasse",10
"Zürich, Susenbergstrasse","Zürich, Zürichbergstrasse",6
"Adliswil, Dietlimoos","Adliswil, Ahornweg",9
Bremgarten West,"Bremgarten AG, Waage",9
"Bülach, Hohfuri","Bülach, Obere Frohalde",9
"Dübendorf, Stadthaus","Dübendorf, Schwimmbad",5
Dübendorf,"Dübendorf, Im Grund",10
"Embrach, Im Feld","Embrach, Embraport",9
Embrach-Rorbas,"Embrach-Rorbas, Bahnhof",1
"Horgen, Säntisstrasse","Horgen, Stocker",8
"Kilchberg ZH, Kreuzstrasse","Kilchberg ZH, Paradiesstrasse",9
"Kloten Balsberg, Bahnhof","Zürich Flughafen, Werft",8
"Meilen, Bundi","Meilen, Roren",6
"Mettmenstetten, Schulhaus","Mettmenstetten, Rossauerstr.",5
"Niederrohrdorf, Vogelrüti","Oberrohrdorf, Friedhof",10
"Nürensdorf, Zentrum","Nürensdorf, Lindauerstrasse",8
"Otelfingen, Schule","Otelfingen, Post",5
"Ottenbach, Engelwiese","Ottenbach, Zentrum",4
"Ottenbach, Rigiblick","Ottenbach, Engelwiese",8
"Pfäffikon ZH, Hörnlistrasse",Pfäffikon ZH,9
"Ringlikon, Langwis","Ringlikon, Gättern",6
"Spreitenbach, Brüel","Spreitenbach, Center Spreitenb",10
"Stäfa, Uelikon","Stäfa, Echtlenbach",6
"Urdorf, Sonne","Urdorf, Spitzacker",7
"Urdorf, Spitzacker","Urdorf, Sonne",7
"Uster, Strick","Uster, Ackerstrasse",8
"Volketswil, Gries","Volketswil, Chammwisen",7
"Wallisellen, Riedenerstrasse","Wallisellen, Rosenberg",7
"Wangen b D'dorf, Hätzelwisen","Wangen b D'dorf, Weidli",7
"Wettswil a.A., Chilenholzstr.","Wettswil a.A., Oberhusen",9
"Wohlen AG, Rebbergstrasse","Wohlen AG, Haldenschulen",10
Wädenswil (See),"Wädenswil, Bahnhof",2
"Wädenswil, Gulmenmatt","Wädenswil, Tiefenhofweiher",6
"Wädenswil, Hintere Rüti Ost","Wädenswil, Neubühl",8
"Würenlos, Spycher","Würenlos, Bahnhof",9
Zürich Storchen,Zürich Limmatquai,5
"Zürich Wollishofen,Bhf/Staubst","Zürich, Jugendherberge",8
"Zürich, Billoweg","Zürich, Sukkulentensammlung",9
"Zürich, Freihofstrasse","Zürich, Kappeli",8
"Zürich, Friedhof Eichbühl","Zürich, Schulhaus Buchlern",8
"Zürich, Friedhof Enzenbühl","Zürich, Klinik Hirslanden",6
"Zürich, Friesenbergstrasse",Zürich Schweighof,7
"Zürich, Germaniastrasse","Zürich, Hadlaubstrasse",3
"Zürich, Glattwiesen","Zürich, Probstei",8
"Zürich, Hegibachplatz","Zürich, Signaustrasse",6
"Zürich, Hottingerplatz","Zürich, Kunsthaus",9
"Zürich, Hottingerplatz","Zürich, Römerhof",10
"Zürich, Kalchbühlweg","Zürich, Butzenstrasse",3
"Zürich, Kempfhofsteig","Zürich, Eschergutweg",4
"Zürich, Klinik Hirslanden","Zürich, Balgrist",7
"Zürich, Lerchenrain","Zürich, Schauenberg",6
"Zürich, Letzibach","Zürich, Letzipark West",7
"Zürich, Morgental","Zürich, Jugendherberge",10
"Zürich, Solidapark","Zürich Altstetten, Bahnhof N",10
"Zürich, Toblerplatz","Zürich, Heubeeriweg",10
"Zürich, Waidfussweg","Zürich, Eschergutweg",10
Bahnhofstrasse,"Wettingen, Tägipark",9
"Bergdietikon, Dünni",Dietikon Stoffelbach,10
"Bremgarten AG, Obertorplatz","Bremgarten AG, Waage",9
"Bülach, Moritz-Meyer-Weg","Bülach, Grampenweg",9
"Bülach, Sonnenhof","Bülach, Grampenweg",9
"Dielsdorf, Dorfzentrum",Dielsdorf,9
"Dietikon, Sommerau","Dietikon, Bahnhof",7
"Ennetbaden, Gärtnerweg","Ennetbaden, Rütenen-Felmen",7
"Glattbrugg, Frohbühlstrasse","Glattbrugg, Bahnhof",7
"Herrliberg, Harzerstrasse","Herrliberg, Aryanastrasse",4
"Horgen, Plattenhof","Horgen, Stocker",9
"Langnau am Albis,Oberrenggstr.","Langnau am Albis, Altersheim",10
"Meilen, Au","Meilen, Aebleten",9
"Meilen, Hohenegg","Meilen, Zur Au",3
"Meilen, Tobel","Herrliberg, Humrigen",6
"Muri AG, Bahnhof","Muri AG, Kreisel",7
"Neftenbach, alte Post","Neftenbach, Wolfgässli",4
"Oberhasli, Hasliberg","Oberhasli, Moosacker",8
"Oberrohrdorf, Brüggliacher","Niederrohrdorf, Oberdorf",7
Schwerzenbach ZH,"Schwerzenbach ZH, Bahnhof",2
"Spreitenbach, Interio","Spreitenbach, Langäcker",9
"Thalwil, Mettli","Thalwil, Alterszentrum",9
"Thalwil, Schützenhaus","Thalwil, Feldstrasse",7
"Uster, Poststrasse","Uster, Dammstrasse",10
"Wallisellen, Haldenstrasse","Wallisellen, Rosenberg",8
"Wettingen, Rathaus","Wettingen, Rebstock",8
"Widen, Dorf","Widen, Burkertsmatt",5
"Winterthur, Loki","Winterthur, Gaswerk",7
"Winterthur, Museumstrasse/HB","Winterthur, Hauptbahnhof",4
"Winterthur, Obertor","Winterthur, Technikum",9
"Wohlen AG, Rigistrasse","Wohlen AG, Haldenschulen",6
Zufikon,"Zufikon, Bachhalde",6
Zürich Bellevue (See),"Zürich, Opernhaus",5
"Zürich Enge, Bahnhof/Bederstr.","Zürich, Kantonsschule Enge",5
"Zürich Hardbrücke, Bahnhof","Zürich, Technopark",9
"Zürich, Bachmattstrasse","Zürich, Solidapark",9
"Zürich, Bernoulli-Häuser","Zürich, Alte Trotte",9
"Zürich, Dunkelhölzli","Zürich, Neeserweg",8
"Zürich, Friedackerstrasse","Zürich, Dorflinde",7
"Zürich, Friesenberghalde","Zürich, Zielweg",9
"Zürich, Germaniastrasse","Zürich, Vogelsangstrasse",10
"Zürich, Kappeli","Zürich, Grimselstrasse",10
"Zürich, Letzibach","Zürich, Letzipark",8
"Zürich, Militär-/Langstrasse","Zürich, Bäckeranlage",8
"Zürich, Rathaus","Zürich, Helmhaus",4
"Zürich, Sihlcity","Zürich, Sihlcity Nord",5
"Zürich, Titlisstrasse","Zürich, Waldhaus Dolder",8
"Zürich, Voltastrasse","Zürich, Hinterbergstrasse",8
"Zürich, Waidspital","Zürich, Waidfussweg",10
"Zürich, Weihersteig","Zürich, Lägernstrasse",7
"Zürich, Würzgraben","Zürich, Letzibach",7
"Zürich, Zypressenstrasse","Zürich, Altes Krematorium",10
"Adlikon b. R., Pächterried","Watt, Haldensteig",8
"Adliswil, Tiefacker","Adliswil, Krone",9
"Brütten, Zentrum","Brütten, Hofacher",10
"Bülach, Bahnhof","Bülach, Gewerbehaus",10
"Dietikon, Gyrhalden","Dietikon, Marmori-Weiher",6
"Dietikon, Stadthalle Ost","Dietikon, Hätschen",10
"Effretikon, Brüttenerstrasse","Effretikon, Zentrum",10
Erlenbach ZH (See),"Erlenbach ZH, Bahnhof",7
"Erlenbach ZH, Pflugstein","Herrliberg, Freudacherstrasse",8
"Erlenbach ZH, Sandfelsenstr.","Erlenbach ZH, Rankstrasse",5
"Erlenbach ZH,Kirchgemeindehaus","Erlenbach ZH, Bahnhofstrasse",4
"Herrliberg, Tennisplätze","Herrliberg, Aryanastrasse",7
"Horgen, Rietli","Horgen, Käpfnach",6
"Kilchberg ZH, Hornhaldenstr.","Zürich, Stadtgrenze",7
"Kilchberg ZH, Paradiessteig","Kilchberg ZH, Weinbergstrasse",6
"Kloten, Kirchgasse","Kloten, Ackerstrasse",6
"Küsnacht ZH, Schiedhaldenstr.",Küsnacht ZH,9
"Merenschwand, Unterdorf","Merenschwand, Zentrum",9
"Männedorf, Dammstrasse",Männedorf,3
"Männedorf, Glärnischstrasse","Männedorf, Auf Dorf",9
"Niederrohrdorf, Egro","Niederrohrdorf,Gemeindezentrum",6
"Schlieren, Geissweid","Schlieren, Goldschlägistrasse",10
"Spreitenbach, Furttalstrasse","Spreitenbach, Interio",4
"Spreitenbach, Shopping Center","Spreitenbach, Glattler",9
"Urdorf, Sonne","Urdorf, Oberurdorf",8
"Urdorf, Uitikonerstrasse","Urdorf Weihermatt, Bahnhof",8
"Uster, Weidli","Uster, Reithalle",8
Uster,"Uster, Jugendhaus",10
"Wallisellen, Alterszentrum","Wallisellen, Schulhaus Bürgli",10
"Wallisellen, Guyer-Weg","Wallisellen, Zielacker",9
"Wallisellen, Schäfligraben","Wallisellen, Lindenplatz",9
"Wettingen, Rebstock","Wettingen, Schönenbühlstrasse",9
"Wettingen, Zirkuswiese","Wettingen, Halbartenstrasse",2
"Wettswil a.A., Bäumlisächer","Wettswil a.A., Rehweid",5
"Winterthur, Waldheim","Winterthur, Turmstrasse",6
"Wohlen AG, Sonnhalde","Wohlen AG, Schulen Junkholz",9
"Wädenswil, Ceder",Wädenswil,7
"Zollikerberg, Trichtenhauserm.","Zürich, Trichtisal",8
Zürich HB SZU,"Zürich, Central",8
"Zürich, Appenzellerstrasse","Zürich, Alte Trotte",5
"Zürich, Auzelg Ost","Zürich, Auzelg",10
"Zürich, Berufswahlschule","Zürich, Birchdörfli",9
"Zürich, Birchdörfli","Zürich, Berufswahlschule",9
"Zürich, Krematorium Nordheim","Zürich, Berufswahlschule",8
"Zürich, Platte","Zürich, Kantonsschule",7
"Zürich, Seebach","Zürich, Hertensteinstrasse",10
"Zürich, Sportweg","Zürich, Hardturm",7
"Au ZH, Appital","Au ZH, Moosacher",9
"Bassersdorf, Chlupfgasse","Bassersdorf, Schmitte",8
"Dietikon, Rapidplatz","Dietikon, Bahnhof",10
Dübendorf,"Dübendorf, Bahnhof Nord",2
"Erlenbach ZH, Rebstrasse","Erlenbach ZH, Im Streuli",8
"Freienstein, Dorf","Rorbas, Dorfplatz",8
"Glanzenberg, Bahnhof","Dietikon, Birmensdorferstrasse",5
"Glattpark, Chavez-Allee","Glattpark, Wright-Strasse",5
Hauptbahnhof,"Winterthur, Schmidgasse",6
"Horgen, Altes Gemeindehaus","Horgen, Wannerstrasse",10
"Jonen, Taverne","Jonen, Käppeli",8
"Kilchberg ZH, Kirche","Kilchberg ZH, Altersheim",5
"Mettmenstetten, Schulhaus","Mettmenstetten, Oberdorf",10
"Männedorf, Dammstrasse",Männedorf (See),7
"Neuenhof, Landhaus",Neuenhof,7
"Niederweningen, Dorf",Niederweningen Dorf,5
"Opfikon, Grätzli","Opfikon, Grossacker",6
"Regensberg, Dorf","Regensberg, Höfli",5
"Spreitenbach, Glattler",Shopping Center,9
"Uetikon am See, Brandrain","Uetikon am See, Rundi",7
"Uster, Pfannenstielstrasse","Uster, Schlyffi",8
"Volketswil, In der Au","Volketswil, Dorf",7
"Wallisellen, Haldenstrasse","Wallisellen, Zentrum",10
"Wallisellen, Lindenplatz","Wallisellen, Hallenbad",9
"Wettingen, Halbartenstrasse","Wettingen, Zirkuswiese",2
Zürich Altstetten,"Zürich, Würzgraben",9
"Zürich, Bellevue",Zürich Stadelhofen,6
"Zürich, Heubeeriweg","Zürich, Zürichbergstrasse",7
"Zürich, Im Wingert","Zürich, Waidbadstrasse",9
"Zürich, Jugendherberge","Zürich, Morgental",10
"Zürich, Kalchbühlweg","Zürich, Wollishoferplatz",6
"Zürich, Lindenplatz",Zürich Altstetten,10
"Zürich, Loogarten","Zürich, Micafil",9
"Zürich, Neunbrunnen","Zürich, Birchstrasse",9
"Zürich, Pflegezentr. Käferberg","Zürich, Lehenstrasse",10
"Zürich, Röntgenstrasse","Zürich, Kanonengasse",8
"Zürich, Seerose","Zürich, Stadtgrenze",10
"Zürich, Stodolastrasse","Zürich, Buchzelgstrasse",10
"Adliswil, Bahnhof",Adliswil,2
"Adliswil, Tobelhof","Adliswil, Baumgartenweg",5
"Bülach, Stadthalle","Bülach, Kaffeestrasse",8
"Dielsdorf, Wehntalerstrasse","Dielsdorf, Bezirksgebäude",3
"Dietikon, Oetwilerstrasse","Dietikon, Vorstadt",7
"Dübendorf, Ringwiesen","Dübendorf, Ringstrasse",8
"Dübendorf, Stadthaus","Dübendorf, City Center",6
"Dübendorf, Wasserfurren","Dübendorf, Post",10
Erlenbach ZH (See),"Erlenbach ZH,Kirchgemeindehaus",7
"Horgen, Säntisstrasse","Horgen, Plattenhof",4
"Horgen, Waldegg","Horgen, Bocken",4
"Horgen, Wannerstrasse",Horgen Oberdorf,10
"Kilchberg ZH, Obere Hornhalde","Kilchberg ZH, Paradiessteig",9
"Meilen, Au","Meilen, Zur Au",9
"Muri AG, Grindelstrasse","Muri AG, Bachmatten-Schulhaus",10
"Niederhasli, Dorf","Niederhasli, Bahnhof",8
"Regensdorf, Furtbächli","Adlikon b. R., Dorf",9
"Rümlang, Oberdorf","Rümlang, Zürichweg",9
"Spreitenbach, Furttalstrasse","Spreitenbach, Rotzenbühl",6
"Uetikon am See, Gemeindehaus","Uetikon am See, Kleindorf",6
"Uster, Burgreben","Uster, Talacker",2
"Uster, Wageren","Uster, Spital",7
"Wettingen, Bushof","Wettingen, Busgarage",2
"Widen, Burkertsmatt","Berikon, Kesslernmatt",3
"Wohlen AG, Rummelring","Wohlen AG, Guggimatt",5
Zürich Selnau,"Zürich, Sihlstrasse",5
"Zürich, Bertastrasse","Zürich, Zypressenstrasse",7
"Zürich, Bleulerstrasse","Zürich, Im Walder",5
"Zürich, Einfangstrasse","Zürich, Schauenberg",10
"Zürich, Haldenbach","Zürich, Stampfenbachplatz",9
"Zürich, Kanonengasse","Zürich, Helvetiaplatz",9
"Zürich, Kronenstrasse","Zürich, Röslistrasse",3
"Zürich, Köschenrüti","Zürich, Leimgrübelstrasse",10
"Zürich, Rotbuchstrasse","Zürich, Okenstrasse",8
"Zürich, Sihlcity Nord","Zürich, Sihlcity",5
"Zürich, Sternen Oerlikon","Zürich Oerlikon, Bahnhof Nord",7
"Zürich, Werd",Zürich Wiedikon,6
"Zürich, Wildbachstrasse","Zürich, Altenhofstrasse",7
"Zürich, Zwielplatz","Zürich, Michelstrasse",10
"Zürich, Zwielplatz","Zürich, Wieslergasse",5
"Adlikon b. R., Dorf","Regensdorf, Pumpwerkstrasse",8
"Aeugst am Albis, Grossacher","Aeugst am Albis, Dorf",10
Berikon-Widen,"Berikon, Kesslernmatt",6
"Bremgarten AG, Stockweier","Bremgarten AG, Kaserne",10
"Bülach, Bahnhof Ost",Bülach,3
"Dübendorf, Im Grund","Dübendorf, Lindenplatz",8
"Dübendorf, Lindenplatz","Dübendorf, Bettlistrasse",9
"Dübendorf, Post","Dübendorf, Zelglistrasse",6
"Erlenbach ZH, Rankstrasse","Erlenbach ZH, Erlenhöhe",9
"Herrliberg, Wetzwil","Herrliberg, Kirche Wetzwil",10
"Kilchberg ZH, Emilienheim","Kilchberg ZH, Paradiessteig",8
Sihlbrugg,"Sihlbrugg, Alter Bahnhof",1
"Stäfa, Lattenberg","Stäfa, Uelikon",2
"Uster, Talacker","Uster, Burgstrasse",7
"Uster, Zentralstrasse","Uster, Burgstrasse",10
"Volketswil, Wallberg","Volketswil, In der Au",3
